"{'Chevrolet Corvette C3 Targa 5.7-liter V8 Edelbrock racing carburetor stainless steel exhaust roll bar Note 2+ (1980)', 'name'}","{'Manufacturer', 'Chevrolet'}","{'Corvette C3 5,7L V8', 'Model'}","{'1980', 'Year'}","{'Transmission', 'Automatic'}","{'Horsepower', '195'}","{'90.238 km', 'Milage'}","{'US', 'Country Version'}","{'🇩🇪 85716 Unterschleißheim', 'Location'}","{'Color', 'Black'}"
"{'Chevrolet Corvette C4 5.7 L V8 climate cruise control (1992)', 'name'}","{'Manufacturer', 'Chevrolet'}","{'C4', 'Model'}","{'1992', 'Year'}","{'Transmission', 'Automatic'}","{'Horsepower', '306'}","{'Milage', '122.300 km'}","{'N/A', 'Country Version'}","{'🇩🇪  30855 Langenhagen', 'Location'}","{'Color', 'Silver Metallic'}"
"{'Chevrolet Corvette C5 Z06 Commemorative Edition only 3,800 km mileage unique new car condition (2003)', 'name'}","{'Manufacturer', 'Chevrolet'}","{'C5', 'Model'}","{'2003', 'Year'}","{'Transmission', 'Manual Transmission'}","{'Horsepower', '405'}","{'3.829 km', 'Milage'}","{'US', 'Country Version'}","{'Location', '🇩🇪 66701 Beckingen'}","{'blue', 'Color'}"
"{'Chevrolet Corvette Z06 C7 Final Edition Sebring Orange only 4,461 km mileage, complete checkbook, 7-speed manual (2019)', 'name'}","{'Manufacturer', 'Chevrolet'}","{'Z06 - C7', 'Model'}","{'2019', 'Year'}","{'Transmission', 'Manually'}","{'Horsepower', '659'}","{'Milage', '4.461 km'}","{'Country Version', 'DE'}","{'Location', '🇩🇪 21465 Reinbek'}","{'Orange', 'Color'}"
"{'name', 'Chevrolet Corvette Z06 Only 61t Km 25.000€ invests 569 hp (2006)'}","{'Manufacturer', 'Chevrolet'}","{'Z06', 'Model'}","{'2006', 'Year'}","{'Transmission', 'Manual Transmission'}","{'Horsepower', '569'}","{'61.000 km', 'Milage'}","{'Country Version', 'DE'}","{'🇩🇪 79541 Lörrach', 'Location'}","{'Yellow', 'Color'}"
"{'Corvette C4 Coupé (1992)', 'name'}","{'Manufacturer', 'Chevrolet'}","{'C4', 'Model'}","{'1992', 'Year'}","{'Automatik', 'Transmission'}","{'', 'Horsepower'}","{'92.000 km', 'Milage'}","{'US', 'Country Version'}","{'Location', '🇩🇪 Hechingen'}","{'Color', 'black rose'}"
"{'Chrysler Córdoba  (1980)', 'name'}","{'Chrysler', 'Manufacturer'}","{'Córdoba', 'Model'}","{'1980', 'Year'}","{'Automatik', 'Transmission'}","{'', 'Horsepower'}","{'41000', 'Milage'}","{'N/A', 'Country Version'}","{'31134 Hildesheim', 'Location'}","{'', 'Color'}"
"{'name', 'Chrysler Airstream C8 German First Delivery Matching Numbers (1936)'}","{'Chrysler', 'Manufacturer'}","{'Airstream', 'Model'}","{'1936', 'Year'}","{'Transmission', 'Manual Transmission'}","{'Horsepower', '105'}","{'61.591 km', 'Milage'}","{'Country Version', 'DE'}","{'Location', '🇩🇪 72622 Nürtingen'}","{'blue', 'Color'}"
"{'Chrysler New Yorker 6.6L V8 air conditioning servo engine completely overhauled (1977)', 'name'}","{'Chrysler', 'Manufacturer'}","{'New Yorker', 'Model'}","{'1977', 'Year'}","{'Transmission', 'Automatic'}","{'190', 'Horsepower'}","{'99.000 km', 'Milage'}","{'N/A', 'Country Version'}","{'Location', '🇦🇹 1190 Wien'}","{'Color', 'Black'}"
"{'Citroen ID 19 (1966)', 'name'}","{'Manufacturer', 'Citroen'}","{'ID 19', 'Model'}","{'1966', 'Year'}","{'Manual', 'Transmission'}","{'', 'Horsepower'}","{'97567', 'Milage'}","{'N/A', 'Country Version'}","{'51766 Engelskirchen', 'Location'}","{'', 'Color'}"
